variable,name,description,behaviour,computed_at_runtime_or_static
enum_value.names.plural.train_case,enum value plural names train_case,Train-Case form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.lower_case,enum value plural names lower_case,Lowercase compact form. for the plural form of the enum value.,Scalar string.,computed_runtime
enum_value.names.plural.upper_case,enum value plural names upper_case,Uppercase compact form. for the plural form of the enum value.,Scalar string.,computed_runtime
entity.paths.group_dir,entity group directory,Generated group folder path from group_key.,Computed convenience variable for templates.,computed_runtime
entity.paths.entity_dir,entity directory,Generated entity folder path from group_key and entity names.,Computed convenience variable for templates.,computed_runtime
entity.paths.types_dir,entity types directory,Path to user-owned or generated type context folder.,Computed convenience variable for templates.,computed_runtime
entity.paths.source_dir,entity source directory,Path to generated source output folder.,Computed convenience variable for templates.,computed_runtime
entity.paths.relative_dir,entity relative directory,Relative output directory for this entity.,Computed convenience variable for templates.,computed_runtime
entity.paths.import_path,entity import path,Normalized import path for generated code.,Computed convenience variable for templates.,computed_runtime
entity.classes.entity,entity class name,Generated entity class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.service,entity service class name,Generated service class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.controller,entity controller class name,Generated controller class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.repository,entity repository class name,Generated repository class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.module,entity module class name,Generated module class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.create_dto,entity create dto class name,Generated create DTO class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.update_dto,entity update dto class name,Generated update DTO class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.schema,entity schema class name,Generated schema name.,Computed convenience variable for templates.,computed_runtime
entity.files.entity,entity file name,Default entity file name.,Computed convenience variable for templates.,computed_runtime
entity.files.service,service file name,Default service file name.,Computed convenience variable for templates.,computed_runtime
entity.files.controller,controller file name,Default controller file name.,Computed convenience variable for templates.,computed_runtime
entity.files.repository,repository file name,Default repository file name.,Computed convenience variable for templates.,computed_runtime
entity.files.constants,constants file name,Default constants file name.,Computed convenience variable for templates.,computed_runtime
entity.files.types,types file name,Default context/types file name.,Computed convenience variable for templates.,computed_runtime
entity.imports.arrays.runtime,runtime imports array,Imports required by runtime-generated code.,Computed convenience variable for templates.,computed_runtime
entity.imports.arrays.framework,framework imports array,Imports required by selected framework templates.,Computed convenience variable for templates.,computed_runtime
entity.imports.arrays.fields,field imports array,Imports required by field kinds and validators.,Computed convenience variable for templates.,computed_runtime
entity.imports.arrays.relations,relation imports array,Imports required by relations.,Computed convenience variable for templates.,computed_runtime
entity.imports.counts.all,import count,Total number of import entries.,Computed convenience variable for templates.,computed_runtime
entity.fields.arrays.all,all fields,All fields as a loop-safe array.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.scalar,scalar fields,Fields that are not relation-only object fields.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.required,required fields,Fields that are not nullable/optional.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.nullable,nullable fields,Fields with nullable true.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.optional,optional fields,Fields that may be omitted from input.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.with_default,fields with default,Fields with a default value.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.with_length,fields with length,Fields defining a length constraint.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.with_values,fields with enum values,Enum-like fields defining value_list/values.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.with_state,fields with state config,Fields defining state behavior such as toggle.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.with_business,fields with business config,Fields defining business/contextual config.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.with_system,fields with system config,Fields defining system metadata.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.generated,generated fields,Fields marked as generated.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.immutable,immutable fields,Fields marked immutable.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.immutable_after_create,immutable after create fields,Fields that can be set at create but not update.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.persisted,persisted fields,Fields marked persisted by mutation/system metadata.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.contextual,contextual fields,Fields linked to business context.,Array; safe for #each loops and generic templates.,computed_runtime
entity.fields.arrays.by_kind.arrays,fields by kind array,Fields whose normalized kind is array.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.arrays,field count by kind array,Number of fields whose normalized kind is array.,Number.,computed_runtime
entity.fields.flags.has_arrays,has array fields,Whether entity has at least one array field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.booleans,fields by kind boolean,Fields whose normalized kind is boolean.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.booleans,field count by kind boolean,Number of fields whose normalized kind is boolean.,Number.,computed_runtime
entity.fields.flags.has_booleans,has boolean fields,Whether entity has at least one boolean field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.dates,fields by kind date,Fields whose normalized kind is date.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.dates,field count by kind date,Number of fields whose normalized kind is date.,Number.,computed_runtime
entity.fields.flags.has_dates,has date fields,Whether entity has at least one date field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.datetimes,fields by kind datetime,Fields whose normalized kind is datetime.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.datetimes,field count by kind datetime,Number of fields whose normalized kind is datetime.,Number.,computed_runtime
entity.fields.flags.has_datetimes,has datetime fields,Whether entity has at least one datetime field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.decimals,fields by kind decimal,Fields whose normalized kind is decimal.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.decimals,field count by kind decimal,Number of fields whose normalized kind is decimal.,Number.,computed_runtime
entity.fields.flags.has_decimals,has decimal fields,Whether entity has at least one decimal field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.enums,fields by kind enum,Fields whose normalized kind is enum.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.enums,field count by kind enum,Number of fields whose normalized kind is enum.,Number.,computed_runtime
entity.fields.flags.has_enums,has enum fields,Whether entity has at least one enum field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.floats,fields by kind float,Fields whose normalized kind is float.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.floats,field count by kind float,Number of fields whose normalized kind is float.,Number.,computed_runtime
entity.fields.flags.has_floats,has float fields,Whether entity has at least one float field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.foreigns,fields by kind foreign,Fields whose normalized kind is foreign.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.foreigns,field count by kind foreign,Number of fields whose normalized kind is foreign.,Number.,computed_runtime
entity.fields.flags.has_foreigns,has foreign fields,Whether entity has at least one foreign field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.integers,fields by kind integer,Fields whose normalized kind is integer.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.integers,field count by kind integer,Number of fields whose normalized kind is integer.,Number.,computed_runtime
entity.fields.flags.has_integers,has integer fields,Whether entity has at least one integer field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.jsons,fields by kind json,Fields whose normalized kind is json.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.jsons,field count by kind json,Number of fields whose normalized kind is json.,Number.,computed_runtime
entity.fields.flags.has_jsons,has json fields,Whether entity has at least one json field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.jsonbs,fields by kind jsonb,Fields whose normalized kind is jsonb.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.jsonbs,field count by kind jsonb,Number of fields whose normalized kind is jsonb.,Number.,computed_runtime
entity.fields.flags.has_jsonbs,has jsonb fields,Whether entity has at least one jsonb field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.numbers,fields by kind number,Fields whose normalized kind is number.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.numbers,field count by kind number,Number of fields whose normalized kind is number.,Number.,computed_runtime
entity.fields.flags.has_numbers,has number fields,Whether entity has at least one number field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.objects,fields by kind object,Fields whose normalized kind is object.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.objects,field count by kind object,Number of fields whose normalized kind is object.,Number.,computed_runtime
entity.fields.flags.has_objects,has object fields,Whether entity has at least one object field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.strings,fields by kind string,Fields whose normalized kind is string.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.strings,field count by kind string,Number of fields whose normalized kind is string.,Number.,computed_runtime
entity.fields.flags.has_strings,has string fields,Whether entity has at least one string field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.unknowns,fields by kind unknown,Fields whose normalized kind is unknown.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.unknowns,field count by kind unknown,Number of fields whose normalized kind is unknown.,Number.,computed_runtime
entity.fields.flags.has_unknowns,has unknown fields,Whether entity has at least one unknown field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_kind.uuids,fields by kind uuid,Fields whose normalized kind is uuid.,Array; safe for #each loops. Empty when no matching fields exist.,computed_runtime
entity.fields.counts.by_kind.uuids,field count by kind uuid,Number of fields whose normalized kind is uuid.,Number.,computed_runtime
entity.fields.flags.has_uuids,has uuid fields,Whether entity has at least one uuid field.,Boolean convenience flag.,computed_runtime
entity.fields.arrays.by_query.default_select,fields by query default_select,Fields enabled for query.defaultSelect.,Array; safe for query-related loops.,computed_runtime
entity.fields.counts.by_query.default_select,field count by query default_select,Number of fields enabled for query.defaultSelect.,Number.,computed_runtime
entity.fields.flags.has_query_default_select,has query default_select fields,Whether any field enables query.defaultSelect.,Boolean.,computed_runtime
entity.fields.arrays.by_query.default_select,fields by query default_select,Fields enabled for query.default_select.,Array; safe for query-related loops.,computed_runtime
entity.fields.counts.by_query.default_select,field count by query default_select,Number of fields enabled for query.default_select.,Number.,computed_runtime
entity.fields.flags.has_query_default_select,has query default_select fields,Whether any field enables query.default_select.,Boolean.,computed_runtime
entity.fields.arrays.by_query.filter,fields by query filter,Fields enabled for query.filter.,Array; safe for query-related loops.,computed_runtime
entity.fields.counts.by_query.filter,field count by query filter,Number of fields enabled for query.filter.,Number.,computed_runtime
entity.fields.flags.has_query_filter,has query filter fields,Whether any field enables query.filter.,Boolean.,computed_runtime
entity.fields.arrays.by_query.search,fields by query search,Fields enabled for query.search.,Array; safe for query-related loops.,computed_runtime
entity.fields.counts.by_query.search,field count by query search,Number of fields enabled for query.search.,Number.,computed_runtime
entity.fields.flags.has_query_search,has query search fields,Whether any field enables query.search.,Boolean.,computed_runtime
entity.fields.arrays.by_query.select,fields by query select,Fields enabled for query.select.,Array; safe for query-related loops.,computed_runtime
entity.fields.counts.by_query.select,field count by query select,Number of fields enabled for query.select.,Number.,computed_runtime
entity.fields.flags.has_query_select,has query select fields,Whether any field enables query.select.,Boolean.,computed_runtime
entity.fields.arrays.by_query.sort,fields by query sort,Fields enabled for query.sort.,Array; safe for query-related loops.,computed_runtime
entity.fields.counts.by_query.sort,field count by query sort,Number of fields enabled for query.sort.,Number.,computed_runtime
entity.fields.flags.has_query_sort,has query sort fields,Whether any field enables query.sort.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.create,fields by mutation create,Fields whose mutation.create is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.create,field count by mutation create,Number of fields matching mutation.create.,Number.,computed_runtime
entity.fields.flags.has_mutation_create,has mutation create fields,Whether any field matches mutation.create.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.edit,fields by mutation edit,Fields whose mutation.edit is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.edit,field count by mutation edit,Number of fields matching mutation.edit.,Number.,computed_runtime
entity.fields.flags.has_mutation_edit,has mutation edit fields,Whether any field matches mutation.edit.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.generated,fields by mutation generated,Fields whose mutation.generated is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.generated,field count by mutation generated,Number of fields matching mutation.generated.,Number.,computed_runtime
entity.fields.flags.has_mutation_generated,has mutation generated fields,Whether any field matches mutation.generated.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.immutable,fields by mutation immutable,Fields whose mutation.immutable is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.immutable,field count by mutation immutable,Number of fields matching mutation.immutable.,Number.,computed_runtime
entity.fields.flags.has_mutation_immutable,has mutation immutable fields,Whether any field matches mutation.immutable.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.immutable_after_create,fields by mutation immutable_after_create,Fields whose mutation.immutable_after_create is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.immutable_after_create,field count by mutation immutable_after_create,Number of fields matching mutation.immutable_after_create.,Number.,computed_runtime
entity.fields.flags.has_mutation_immutable_after_create,has mutation immutable_after_create fields,Whether any field matches mutation.immutable_after_create.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.persisted,fields by mutation persisted,Fields whose mutation.persisted is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.persisted,field count by mutation persisted,Number of fields matching mutation.persisted.,Number.,computed_runtime
entity.fields.flags.has_mutation_persisted,has mutation persisted fields,Whether any field matches mutation.persisted.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation.update,fields by mutation update,Fields whose mutation.update is enabled/truthy or has a matching scope.,Array; safe for mutation DTO loops.,computed_runtime
entity.fields.counts.by_mutation.update,field count by mutation update,Number of fields matching mutation.update.,Number.,computed_runtime
entity.fields.flags.has_mutation_update,has mutation update fields,Whether any field matches mutation.update.,Boolean.,computed_runtime
entity.fields.arrays.by_mutation_scope.api,fields by mutation scope api,Fields with create/update/edit mutation scope api.,Array; useful for separating public API fields from system fields.,computed_runtime
entity.fields.arrays.by_mutation_scope.system,fields by mutation scope system,Fields with create/update/edit mutation scope system.,Array; useful for separating public API fields from system fields.,computed_runtime
entity.fields.arrays.by_mutation_scope.false,fields by mutation scope false,Fields with create/update/edit mutation scope false.,Array; useful for separating public API fields from system fields.,computed_runtime
entity.fields.arrays.by_mutation_scope.true,fields by mutation scope true,Fields with create/update/edit mutation scope true.,Array; useful for separating public API fields from system fields.,computed_runtime
field.key,field key,Canonical field key.,Scalar string; always available inside field loops.,static
field.name,field name,Alias for canonical field key.,Scalar string; can be computed from key if omitted.,computed_runtime
field.kind,field kind,"Normalized domain kind such as string, boolean, enum, uuid, foreign.",Scalar string.,static
field.nullable,field nullable,Whether field allows null.,Boolean; defaults false when omitted.,computed_runtime
field.length,field length,Length constraint for string-like fields.,Number or null.,static
field.default,field default,Default value declared for the field.,Any scalar/object value from config.,static
field.raw,field raw config,Original field config supplied by user.,Escape hatch for advanced templates.,static
field.value_list,field value list,Enum values as an ordered array.,Array; loopable for enum fields. Empty otherwise.,static
field.values,field values map,Enum value lookup object.,"Map/object; direct lookup only, prefer arrays for generic loops.",static
field.values_array,field values array,Enum values converted to loop-safe value context objects.,Array; safe for #each loops.,computed_runtime
field.type_name,field type name,PascalCase field type name kept for backward compatibility.,Computed alias to field.names.pascal_case.,computed_runtime
field.constant_name,field constant name,CONSTANT_CASE field name kept for backward compatibility.,Computed alias to field.names.constant_case.,computed_runtime
field.types.domain,field type domain,Type translation for domain.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.ts,field type ts,Type translation for ts.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.js,field type js,Type translation for js.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.db,field type db,Type translation for db.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.sql,field type sql,Type translation for sql.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.typeorm,field type typeorm,Type translation for typeorm.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.prisma,field type prisma,Type translation for prisma.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.zod,field type zod,Type translation for zod.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.class_validator,field type class_validator,Type translation for class_validator.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.openapi,field type openapi,Type translation for openapi.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.graphql,field type graphql,Type translation for graphql.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.form,field type form,Type translation for form.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.json_schema,field type json_schema,Type translation for json_schema.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.html_input,field type html_input,Type translation for html_input.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.types.default_value_type,field type default_value_type,Type translation for default_value_type.,Scalar string or structured object depending on target; computed from kind/nullable/values.,computed_runtime
field.flags.is_string,field flag is_string,Boolean flag: is string.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_boolean,field flag is_boolean,Boolean flag: is boolean.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_number,field flag is_number,Boolean flag: is number.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_integer,field flag is_integer,Boolean flag: is integer.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_float,field flag is_float,Boolean flag: is float.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_decimal,field flag is_decimal,Boolean flag: is decimal.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_uuid,field flag is_uuid,Boolean flag: is uuid.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_enum,field flag is_enum,Boolean flag: is enum.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_foreign,field flag is_foreign,Boolean flag: is foreign.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_date,field flag is_date,Boolean flag: is date.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_datetime,field flag is_datetime,Boolean flag: is datetime.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_json,field flag is_json,Boolean flag: is json.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_jsonb,field flag is_jsonb,Boolean flag: is jsonb.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_object,field flag is_object,Boolean flag: is object.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_array,field flag is_array,Boolean flag: is array.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_nested,field flag is_nested,Boolean flag: is nested.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_scalar,field flag is_scalar,Boolean flag: is scalar.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_nullable,field flag is_nullable,Boolean flag: is nullable.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_required,field flag is_required,Boolean flag: is required.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_optional,field flag is_optional,Boolean flag: is optional.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.has_default,field flag has_default,Boolean flag: has default.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.has_length,field flag has_length,Boolean flag: has length.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.has_values,field flag has_values,Boolean flag: has values.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_query_select,field flag is_query_select,Boolean flag: is query select.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_query_default_select,field flag is_query_default_select,Boolean flag: is query default select.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_query_search,field flag is_query_search,Boolean flag: is query search.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_query_sort,field flag is_query_sort,Boolean flag: is query sort.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_query_filter,field flag is_query_filter,Boolean flag: is query filter.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_mutation_create,field flag is_mutation_create,Boolean flag: is mutation create.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_mutation_update,field flag is_mutation_update,Boolean flag: is mutation update.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_mutation_edit,field flag is_mutation_edit,Boolean flag: is mutation edit.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_mutation_api,field flag is_mutation_api,Boolean flag: is mutation api.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_mutation_system,field flag is_mutation_system,Boolean flag: is mutation system.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_generated,field flag is_generated,Boolean flag: is generated.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_immutable,field flag is_immutable,Boolean flag: is immutable.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_immutable_after_create,field flag is_immutable_after_create,Boolean flag: is immutable after create.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_persisted,field flag is_persisted,Boolean flag: is persisted.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_contextual,field flag is_contextual,Boolean flag: is contextual.,Boolean convenience flag for conditionals.,computed_runtime
field.flags.is_toggleable,field flag is_toggleable,Boolean flag: is toggleable.,Boolean convenience flag for conditionals.,computed_runtime
field.query.default_select,field query default_select,Field-level query.defaultSelect value.,Static config value with default false/undefined normalized to boolean where useful.,static
field.query.default_select,field query default_select,Field-level query.default_select value.,Static config value with default false/undefined normalized to boolean where useful.,static
field.query.filter,field query filter,Field-level query.filter value.,Static config value with default false/undefined normalized to boolean where useful.,static
field.query.search,field query search,Field-level query.search value.,Static config value with default false/undefined normalized to boolean where useful.,static
field.query.select,field query select,Field-level query.select value.,Static config value with default false/undefined normalized to boolean where useful.,static
field.query.sort,field query sort,Field-level query.sort value.,Static config value with default false/undefined normalized to boolean where useful.,static
field.mutation.create,field mutation create,Field-level mutation.create value.,Static config value; may be boolean or scope string such as api/system.,static
field.mutation.edit,field mutation edit,Field-level mutation.edit value.,Static config value; may be boolean or scope string such as api/system.,static
field.mutation.generated,field mutation generated,Field-level mutation.generated value.,Static config value; may be boolean or scope string such as api/system.,static
field.mutation.immutable,field mutation immutable,Field-level mutation.immutable value.,Static config value; may be boolean or scope string such as api/system.,static
field.mutation.immutable_after_create,field mutation immutable_after_create,Field-level mutation.immutable_after_create value.,Static config value; may be boolean or scope string such as api/system.,static
field.mutation.persisted,field mutation persisted,Field-level mutation.persisted value.,Static config value; may be boolean or scope string such as api/system.,static
field.mutation.update,field mutation update,Field-level mutation.update value.,Static config value; may be boolean or scope string such as api/system.,static
field.state.toggle,toggle,field.state.toggle value from field config.,Static config value normalized for template use.,static
field.business.contextual,contextual,field.business.contextual value from field config.,Static config value normalized for template use.,static
field.business.context_key,context key,field.business.context_key value from field config.,Static config value normalized for template use.,static
field.system.persisted,persisted,field.system.persisted value from field config.,Static config value normalized for template use.,static
field.db.column_name,field db column_name,Database-oriented derived value: column_name.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.column_type,field db column_type,Database-oriented derived value: column_type.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.length,field db length,Database-oriented derived value: length.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.nullable,field db nullable,Database-oriented derived value: nullable.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.default,field db default,Database-oriented derived value: default.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.is_primary,field db is_primary,Database-oriented derived value: is_primary.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.is_unique_candidate,field db is_unique_candidate,Database-oriented derived value: is_unique_candidate.,"Computed from field kind, names, and constraints.",computed_runtime
field.db.index_name_fragment,field db index_name_fragment,Database-oriented derived value: index_name_fragment.,"Computed from field kind, names, and constraints.",computed_runtime
field.validation.zod_schema,field validation zod_schema,Validation/form metadata for zod_schema.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.class_validator_decorators,field validation class_validator_decorators,Validation/form metadata for class_validator_decorators.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.openapi_schema,field validation openapi_schema,Validation/form metadata for openapi_schema.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.form_component,field validation form_component,Validation/form metadata for form_component.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.form_label,field validation form_label,Validation/form metadata for form_label.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.form_placeholder,field validation form_placeholder,Validation/form metadata for form_placeholder.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.form_required,field validation form_required,Validation/form metadata for form_required.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.form_options,field validation form_options,Validation/form metadata for form_options.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
field.validation.error_messages,field validation error_messages,Validation/form metadata for error_messages.,"Computed from kind, length, nullable, defaults, and values.",computed_runtime
enum_value.key,enum value key,Enum value context property key.,Available inside field.values_array loops.,static
enum_value.value,enum value value,Enum value context property value.,Available inside field.values_array loops.,static
enum_value.label,enum value label,Enum value context property label.,Available inside field.values_array loops.,computed_runtime
enum_value.index,enum value index,Enum value context property index.,Available inside field.values_array loops.,computed_runtime
enum_value.is_default,enum value is_default,Enum value context property is_default.,Available inside field.values_array loops.,computed_runtime
enum_value.raw,enum value raw,Enum value context property raw.,Available inside field.values_array loops.,static
entity.relations.arrays.all,all relations,All relations as loop-safe array.,Array; safe for loops.,computed_runtime
entity.relations.arrays.by_kind.one_to_many,one to many relations,Relations of kind one_to_many.,Array; safe for loops.,computed_runtime
entity.relations.arrays.by_kind.many_to_one,many to one relations,Relations of kind many_to_one.,Array; safe for loops.,computed_runtime
entity.relations.arrays.by_kind.many_to_many,many to many relations,Relations of kind many_to_many.,Array; safe for loops.,computed_runtime
entity.relations.arrays.with_cascade,cascade relations,Relations with cascade true.,Array; safe for loops.,computed_runtime
entity.relations.arrays.with_on_delete,relations with on_delete,Relations defining on_delete behavior.,Array; safe for loops.,computed_runtime
entity.relations.arrays.resolved,resolved relations,Relations whose remote/local fields resolved correctly.,Array; safe for loops.,computed_runtime
entity.relations.arrays.unresolved,unresolved relations,Relations containing unresolved remote/local metadata or errors.,Array; safe for loops.,computed_runtime
entity.relations.counts.all,relation count,Total relations count.,Boolean/number convenience value.,computed_runtime
entity.relations.flags.has_relations,has relations,Whether entity has any relations.,Boolean/number convenience value.,computed_runtime
entity.relations.flags.has_unresolved,has unresolved relations,Whether any relation failed resolution.,Boolean/number convenience value.,computed_runtime
entity.relations.counts.by_kind.many_to_one,relation count many_to_one,Number of many_to_one relations.,Number.,computed_runtime
