variable,name,description,behaviour,computed_at_runtime_or_static
template.name.casing.lower.singular,template name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.upper.singular,template name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.original.plural,template name original plural,Original input name before normalization. for the plural form of the template.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.parts.array.all.plural,template name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template.name.parts.array.count.plural,template name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template.name.word.plural,template name word plural,Last or primary word in the parsed name. for the plural form of the template.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.words.plural,template name words plural,Human readable words joined by spaces. for the plural form of the template.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.words.lower.plural,template name words lower plural,Lowercase words joined by spaces. for the plural form of the template.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.words.upper.plural,template name words upper plural,Uppercase words joined by spaces. for the plural form of the template.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.words.title.plural,template name words title plural,Title case words joined by spaces. for the plural form of the template.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.camel.plural,template name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.pascal.plural,template name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.snake.plural,template name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.kebab.plural,template name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.path.dot.plural,template name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.path.slash.plural,template name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.path.filesystem.plural,template name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.constant.plural,template name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.train.plural,template name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.lower.plural,template name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template.name.casing.upper.plural,template name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.original,enum value name original,Original input name before normalization.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,static
enum_value.name.parts.array.all,enum value name parts array all,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
enum_value.name.parts.array.count,enum value name parts array count,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
enum_value.name.word,enum value name word,Last or primary word in the parsed name. for the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words,enum value name words,Human readable words joined by spaces. for the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.lower,enum value name words lower,Lowercase words joined by spaces. for the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.upper,enum value name words upper,Uppercase words joined by spaces. for the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.title,enum value name words title,Title case words joined by spaces. for the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.camel,enum value name casing camel,Camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.pascal,enum value name casing pascal,Pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.snake,enum value name casing snake,Snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.kebab,enum value name casing kebab,Kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.dot,enum value name path dot,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.slash,enum value name path slash,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.filesystem,enum value name path filesystem,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.constant,enum value name casing constant,Constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.train,enum value name casing train,Train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.lower,enum value name casing lower,Lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.upper,enum value name casing upper,Upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.original.singular,enum value name original singular,Original input name before normalization. for the singular form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.parts.array.all.singular,enum value name parts array all singular,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
enum_value.name.parts.array.count.singular,enum value name parts array count singular,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
enum_value.name.word.singular,enum value name word singular,Last or primary word in the parsed name. for the singular form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.singular,enum value name words singular,Human readable words joined by spaces. for the singular form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.lower.singular,enum value name words lower singular,Lowercase words joined by spaces. for the singular form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.upper.singular,enum value name words upper singular,Uppercase words joined by spaces. for the singular form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.title.singular,enum value name words title singular,Title case words joined by spaces. for the singular form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.camel.singular,enum value name casing camel singular,Singular camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.pascal.singular,enum value name casing pascal singular,Singular pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.snake.singular,enum value name casing snake singular,Singular snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.kebab.singular,enum value name casing kebab singular,Singular kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.dot.singular,enum value name path dot singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.slash.singular,enum value name path slash singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.filesystem.singular,enum value name path filesystem singular,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.constant.singular,enum value name casing constant singular,Singular constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.train.singular,enum value name casing train singular,Singular train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.lower.singular,enum value name casing lower singular,Singular lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.upper.singular,enum value name casing upper singular,Singular upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.original.plural,enum value name original plural,Original input name before normalization. for the plural form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.parts.array.all.plural,enum value name parts array all plural,Array of parsed name parts; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
enum_value.name.parts.array.count.plural,enum value name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
enum_value.name.word.plural,enum value name word plural,Last or primary word in the parsed name. for the plural form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.plural,enum value name words plural,Human readable words joined by spaces. for the plural form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.lower.plural,enum value name words lower plural,Lowercase words joined by spaces. for the plural form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.upper.plural,enum value name words upper plural,Uppercase words joined by spaces. for the plural form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.words.title.plural,enum value name words title plural,Title case words joined by spaces. for the plural form of the enum value.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.camel.plural,enum value name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.pascal.plural,enum value name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.snake.plural,enum value name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.kebab.plural,enum value name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.dot.plural,enum value name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.slash.plural,enum value name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.path.filesystem.plural,enum value name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.constant.plural,enum value name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.train.plural,enum value name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.lower.plural,enum value name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
enum_value.name.casing.upper.plural,enum value name casing upper plural,Plural upper casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
entity.paths.group_dir,entity paths group dir,Generated group folder path from group_key.,Computed convenience variable for templates.,computed_runtime
entity.paths.entity_dir,entity paths entity dir,Generated entity folder path from group_key and entity names.,Computed convenience variable for templates.,computed_runtime
entity.paths.types_dir,entity paths types dir,Path to user-owned or generated type context folder.,Computed convenience variable for templates.,computed_runtime
entity.paths.source_dir,entity paths source dir,Path to generated source output folder.,Computed convenience variable for templates.,computed_runtime
entity.paths.relative_dir,entity paths relative dir,Relative output directory for this entity.,Computed convenience variable for templates.,computed_runtime
entity.paths.import_path,entity paths import path,Normalized import path for generated code.,Computed convenience variable for templates.,computed_runtime
entity.classes.entity,entity classes entity,Generated entity class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.service,entity classes service,Generated service class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.controller,entity classes controller,Generated controller class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.repository,entity classes repository,Generated repository class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.module,entity classes module,Generated module class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.create_dto,entity classes create dto,Generated create DTO class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.update_dto,entity classes update dto,Generated update DTO class name.,Computed convenience variable for templates.,computed_runtime
entity.classes.schema,entity classes schema,Generated schema name.,Computed convenience variable for templates.,computed_runtime
entity.files.entity,entity files entity,Default entity file name.,Computed convenience variable for templates.,computed_runtime
entity.files.service,entity files service,Default service file name.,Computed convenience variable for templates.,computed_runtime
entity.files.controller,entity files controller,Default controller file name.,Computed convenience variable for templates.,computed_runtime
entity.files.repository,entity files repository,Default repository file name.,Computed convenience variable for templates.,computed_runtime
entity.files.constants,entity files constants,Default constants file name.,Computed convenience variable for templates.,computed_runtime
entity.files.types,entity files types,Default context/types file name.,Computed convenience variable for templates.,computed_runtime
entity.imports.array.runtime,entity imports array runtime,Filtered collection view for runtime items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.imports.array.framework,entity imports array framework,Filtered collection view for framework items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.imports.array.fields,entity imports array fields,Filtered collection view for fields items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.imports.array.relations,entity imports array relations,Filtered collection view for relations items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.imports.array.count,entity imports array count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.all,entity fields array all,All items in the collection; loopable.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.scalar,entity fields array scalar,Filtered collection view for scalar items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.required,entity fields array required,Filtered collection view for required items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.nullable,entity fields array nullable,Filtered collection view for nullable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.optional,entity fields array optional,Filtered collection view for optional items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.with_default,entity fields array with default,Filtered collection view for with default items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.with_length,entity fields array with length,Filtered collection view for with length items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.with_values,entity fields array with values,Filtered collection view for with values items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.with_state,entity fields array with state,Filtered collection view for with state items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.with_business,entity fields array with business,Filtered collection view for with business items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.with_system,entity fields array with system,Filtered collection view for with system items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.generated,entity fields array generated,Filtered collection view for generated items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.immutable,entity fields array immutable,Filtered collection view for immutable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.immutable_after_create,entity fields array immutable after create,Filtered collection view for immutable after create items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.persisted,entity fields array persisted,Filtered collection view for persisted items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.contextual,entity fields array contextual,Filtered collection view for contextual items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.array_fields,entity fields array array fields,Filtered collection view for array fields items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.array_fields.count,entity fields array array fields count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.array_fields.not_empty,entity fields array array fields not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.booleans,entity fields array booleans,Filtered collection view for booleans items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.booleans.count,entity fields array booleans count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.booleans.not_empty,entity fields array booleans not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.dates,entity fields array dates,Filtered collection view for dates items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.dates.count,entity fields array dates count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.dates.not_empty,entity fields array dates not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.datetimes,entity fields array datetimes,Filtered collection view for datetimes items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.datetimes.count,entity fields array datetimes count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.datetimes.not_empty,entity fields array datetimes not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.decimals,entity fields array decimals,Filtered collection view for decimals items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.decimals.count,entity fields array decimals count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.decimals.not_empty,entity fields array decimals not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.enums,entity fields array enums,Filtered collection view for enums items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.enums.count,entity fields array enums count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.enums.not_empty,entity fields array enums not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.floats,entity fields array floats,Filtered collection view for floats items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.floats.count,entity fields array floats count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.floats.not_empty,entity fields array floats not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.foreigns,entity fields array foreigns,Filtered collection view for foreigns items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.foreigns.count,entity fields array foreigns count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.foreigns.not_empty,entity fields array foreigns not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.integers,entity fields array integers,Filtered collection view for integers items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.integers.count,entity fields array integers count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.integers.not_empty,entity fields array integers not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.jsons,entity fields array jsons,Filtered collection view for jsons items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.jsons.count,entity fields array jsons count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.jsons.not_empty,entity fields array jsons not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.jsonbs,entity fields array jsonbs,Filtered collection view for jsonbs items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.jsonbs.count,entity fields array jsonbs count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.jsonbs.not_empty,entity fields array jsonbs not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.numbers,entity fields array numbers,Filtered collection view for numbers items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.numbers.count,entity fields array numbers count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.numbers.not_empty,entity fields array numbers not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.objects,entity fields array objects,Filtered collection view for objects items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.objects.count,entity fields array objects count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.objects.not_empty,entity fields array objects not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.strings,entity fields array strings,Filtered collection view for strings items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.strings.count,entity fields array strings count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.strings.not_empty,entity fields array strings not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.unknowns,entity fields array unknowns,Filtered collection view for unknowns items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.unknowns.count,entity fields array unknowns count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.unknowns.not_empty,entity fields array unknowns not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.uuids,entity fields array uuids,Filtered collection view for uuids items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.uuids.count,entity fields array uuids count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.uuids.not_empty,entity fields array uuids not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.default_selectable,entity fields array default selectable,Filtered collection view for default selectable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.default_selectable.count,entity fields array default selectable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.default_selectable.not_empty,entity fields array default selectable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.filterable,entity fields array filterable,Filtered collection view for filterable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.filterable.count,entity fields array filterable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.filterable.not_empty,entity fields array filterable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.searchable,entity fields array searchable,Filtered collection view for searchable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.searchable.count,entity fields array searchable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.searchable.not_empty,entity fields array searchable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.selectable,entity fields array selectable,Filtered collection view for selectable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.selectable.count,entity fields array selectable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.selectable.not_empty,entity fields array selectable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.sortable,entity fields array sortable,Filtered collection view for sortable items; loopable when it returns a collection.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.sortable.count,entity fields array sortable count,Number of items in the collection or filtered view.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
entity.fields.array.sortable.not_empty,entity fields array sortable not empty,Boolean indicating whether the collection or filtered view has at least one item.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
